id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
177,Tiny Home in the Heart of the City- ECO FRIENDLY,615,Joe,,Virginia Village,39.69585,-104.92582,Entire home/apt,56,1,39,2019-03-24,1.21,3,0
360,LoHi Secret garden at the Chickadee Cottage,666,Jennifer & Giovanni,,Highland,39.76703,-105.00256,Entire home/apt,140,1,48,2019-03-29,5.58,3,290
590,Comfortable  - and a great value!,933,Jill,,North Park Hill,39.75361,-104.91237,Private room,61,1,565,2019-03-27,4.60,2,93
592,private,933,Jill,,North Park Hill,39.75438,-104.91156,Private room,42,30,147,2019-03-22,1.19,2,94
686,Alexandra's Uptown Queen Bed Room,990,Alexandra,,North Capitol Hill,39.74503,-104.97756,Private room,70,2,236,2019-04-16,1.82,2,344
1940,Baker Studio Close to EVERYTHING,2150,Joanne,,Baker,39.71981,-104.99649,Entire home/apt,95,2,34,2019-04-22,1.24,1,55
2086,Garden Level Condo,2284,Katy,,Hale,39.73996,-104.93173,Entire home/apt,76,180,12,2018-10-21,0.87,1,358
21745,Alexandra's Uptown King Bed Room plus,990,Alexandra,,North Capitol Hill,39.74513,-104.97903,Private room,65,2,226,2018-11-21,2.05,2,295
31503,Highland Park Guest House,135298,Rick,,West Highland,39.76216,-105.02866,Entire home/apt,110,3,55,2019-03-18,0.52,1,299
39405,LoHi Secret garden at the Mulberry Cottage,666,Jennifer & Giovanni,,Highland,39.76588,-105.00545,Entire home/apt,111,1,549,2019-04-12,5.17,3,281
56185,charming home for your vacation,266051,Kate,,North Park Hill,39.75322,-104.93335,Entire home/apt,300,3,64,2018-09-02,0.63,1,306
59631,VICTORIAN TOWNHOME DOWNTOWN,1496,Julie,,Five Points,39.74947,-104.97611,Entire home/apt,179,1,139,2018-09-03,1.45,2,316
74125,Spacious Cap Hill Condo (built in 1889) with yards,385864,Joe,,Capitol Hill,39.73276,-104.98035,Entire home/apt,120,3,100,2019-04-12,1.06,1,30
81540,Affordable S. Denver Guest House,98912,Jess,,Overland,39.66787,-104.98969,Entire home/apt,75,3,147,2019-03-30,1.49,1,161
98008,"Beautiful sun filled queen, close to everything!",297382,James,,Five Points,39.74927,-104.97482,Private room,70,2,203,2019-02-28,2.09,3,319
98014,Beautiful single steps to Downtown,297382,James,,Five Points,39.74865,-104.97522,Private room,60,2,199,2019-03-31,2.05,3,298
142683,Historic Denver City Park Condo,692622,Nancy,,City Park,39.74145,-104.94845,Entire home/apt,125,1,276,2019-04-24,2.90,1,46
172196,Luxury Wash Park Home Great for Families & Groups,526354,Michael,,Washington Park,39.69688,-104.96232,Entire home/apt,411,3,24,2019-04-21,0.26,1,311
177942,Sky Gallery Penthouse Loft in Union Station VIEWS!,448794,Tyler,,Union Station,39.7548,-105.00517,Entire home/apt,195,2,150,2019-04-23,1.59,1,101
184529,HIP SUITE IN  WEST  HIGHLANDS DENVER,134798,Lonna,,West Highland,39.76716,-105.0435,Private room,35,30,6,2016-01-03,0.07,2,267
192430,TREETOP VIEW ROOM  East Central  14 days - 8 weeks,923646,Kate,,South Park Hill,39.7416,-104.93613,Private room,32,30,114,2019-01-25,1.22,1,125
217996,Highland Snug,10730,William,,Highland,39.75706,-105.01022,Private room,66,30,11,2017-08-06,0.25,1,138
236207,Denver Penthouse 5*Location DIA 33 Minutes $10.50,1238201,Dave,,Union Station,39.75475,-105.00533,Entire home/apt,235,1,58,2018-09-14,0.70,1,100
283162,2000 SF-Lodo Club Style Condo,1475137,Lee,,Union Station,39.75035,-104.99624,Entire home/apt,300,30,1,2018-07-03,0.10,1,340
286732,House on Stout: Prairie,1154806,Ellen,,Five Points,39.75289,-104.982,Private room,70,2,151,2019-04-20,2.55,2,0
364585,Washington Park Stunning Townhouse,930851,Nicholas,,Washington Park West,39.69859,-104.9813,Entire home/apt,250,3,129,2019-02-21,1.49,1,226
