id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
360,LoHi Secret garden at the Chickadee Cottage,666,Jennifer & Giovanni,,Highland,39.76703,-105.00256,Entire home/apt,140,1,74,2019-08-14,5.78,3,290
590,Comfortable  - and a great value!,933,Jill,,North Park Hill,39.75361,-104.91237,Private room,61,1,573,2019-07-31,4.51,2,139
592,private,933,Jill,,North Park Hill,39.75438,-104.91156,Private room,42,30,175,2019-08-06,1.37,2,144
686,Alexandra's Uptown Queen Bed Room,990,Alexandra,,North Capitol Hill,39.74503,-104.97756,Private room,70,2,680,2019-08-19,5.07,2,315
1940,Baker Studio Close to EVERYTHING,2150,Joanne,,Baker,39.71981,-104.99649,Entire home/apt,95,2,39,2019-08-12,1.23,1,108
2086,Garden Level Condo,2284,Katy,,Hale,39.73996,-104.93173,Entire home/apt,76,180,12,2018-10-21,0.67,1,358
21745,Alexandra's Uptown King Bed Room plus,990,Alexandra,,North Capitol Hill,39.74513,-104.97903,Private room,65,2,229,2019-05-27,2.00,2,322
31503,Highland Park Guest House,135298,Rick,,West Highland,39.76216,-105.02866,Entire home/apt,110,3,64,2019-08-07,0.59,1,258
39405,LoHi Secret garden at the Mulberry Cottage,666,Jennifer & Giovanni,,Highland,39.76588,-105.00545,Entire home/apt,111,1,579,2019-08-14,5.25,3,300
56185,charming home for your vacation,266051,Kate,,North Park Hill,39.75322,-104.93335,Entire home/apt,300,3,65,2019-08-23,0.62,1,261
59631,VICTORIAN TOWNHOME DOWNTOWN,1496,Julie,,Five Points,39.74947,-104.97611,Entire home/apt,179,1,141,2019-06-30,1.41,2,0
74125,Spacious Cap Hill Condo (built in 1889) with yards,385864,Joe,,Capitol Hill,39.73276,-104.98035,Entire home/apt,130,3,108,2019-08-12,1.09,1,31
81540,Affordable S. Denver Guest House,98912,Jess,,Overland,39.66787,-104.98969,Entire home/apt,75,3,155,2019-07-21,1.51,1,212
90307,Comfy King Size Room (Park Hill),489506,Doreen,,South Park Hill,39.74955,-104.93239,Private room,90,1,186,2019-07-20,1.99,1,164
98008,"Beautiful sun filled queen, close to everything!",297382,James,,Five Points,39.74927,-104.97482,Private room,70,2,215,2019-08-09,2.13,3,331
98014,Beautiful single steps to Downtown,297382,James,,Five Points,39.74865,-104.97522,Private room,60,2,212,2019-08-20,2.09,3,305
142683,Historic Denver City Park Condo,692622,Nancy,,City Park,39.74145,-104.94845,Entire home/apt,125,1,294,2019-08-20,2.96,1,53
172196,Luxury Wash Park Home Great for Families & Groups,526354,Michael,,Washington Park,39.69688,-104.96232,Entire home/apt,411,3,25,2019-07-15,0.26,1,274
177942,Sky Gallery Penthouse Loft in Union Station VIEWS!,448794,Tyler,,Union Station,39.7548,-105.00517,Entire home/apt,195,2,177,2019-08-30,1.80,1,29
