id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
360,LoHi Secret garden at the Chickadee Cottage,666,Jennifer & Giovanni,,Highland,39.76703329045509,-105.0025640520893,Entire home/apt,140,1,33,2018-11-22,7.56,3,346
590,Comfortable  - and a great value!,933,Jill,,North Park Hill,39.75360861432099,-104.91237270428186,Private room,61,1,556,2018-12-19,4.69,2,173
592,private,933,Jill,,North Park Hill,39.754379776740834,-104.91155676275874,Private room,42,30,145,2018-11-04,1.21,2,128
686,Alexandra's Uptown Queen Bed Room,990,Alexandra,,North Capitol Hill,39.7450296112037,-104.97756400866717,Private room,70,2,234,2018-10-13,1.86,1,277
1940,Baker Studio Close to EVERYTHING,2150,Joanne,,Baker,39.71981035998084,-104.9964870870153,Entire home/apt,95,2,25,2018-12-19,1.08,1,140
2086,Garden Level Condo,2284,Katy,,Hale,39.73996163398822,-104.93172823478774,Entire home/apt,76,30,12,2018-10-21,1.26,1,109
31503,Highland Park Guest House,135298,Rick,,West Highland,39.762159461176836,-105.02865987371432,Entire home/apt,110,3,48,2018-11-26,0.48,1,355
39405,LoHi Secret garden at the Mulberry Cottage,666,Jennifer & Giovanni,,Highland,39.76588303201439,-105.00545175761249,Entire home/apt,111,1,528,2018-12-16,5.18,3,344
56185,charming home for your vacation,266051,Kate,,North Park Hill,39.753215095516104,-104.93334501905635,Entire home/apt,300,3,64,2018-09-02,0.66,1,352
58598,Apartment in Historic Congress Park,280583,Carey,,Congress Park,39.73730412808642,-104.95615574466999,Entire home/apt,94,2,549,2018-12-09,5.64,1,3
59631,VICTORIAN TOWNHOME DOWNTOWN,1496,Julie,,Five Points,39.74947215259146,-104.97611259083283,Entire home/apt,179,1,139,2018-09-03,1.51,2,355
74125,Spacious Cap Hill Condo (built in 1889) with yards,385864,Joe,,Capitol Hill,39.73275785738501,-104.98035207881279,Entire home/apt,120,3,94,2018-11-20,1.04,1,53
81540,Affordable S. Denver Guest House,98912,Jess,,Overland,39.66786893848025,-104.98968597826972,Entire home/apt,75,3,145,2018-12-02,1.54,1,203
90307,Comfy King Size Room (Park Hill),489506,Doreen,,South Park Hill,39.74954523033806,-104.93238859781933,Private room,90,1,177,2018-11-10,2.09,2,84
98008,"Beautiful sun filled queen, close to everything!",297382,James,,Five Points,39.749265750021166,-104.97481782374622,Private room,70,2,202,2018-11-19,2.18,2,342
98014,Beautiful single steps to Downtown,297382,James,,Five Points,39.74865493443946,-104.97521507365906,Private room,60,2,196,2018-11-22,2.11,2,351
142683,Historic Denver City Park Condo,692622,Nancy,,City Park,39.74145037663793,-104.94844997223437,Entire home/apt,145,1,267,2018-11-19,2.94,1,349
172196,Luxury Wash Park Home Great for Families,526354,Michael,,Washington Park,39.696877017014224,-104.96231625479423,Entire home/apt,411,3,22,2018-08-21,0.25,1,336
177942,Sky Gallery at Promenade Lofts,448794,Tyler,,Union Station,39.75479735717703,-105.00516603243588,Entire home/apt,195,2,133,2018-11-25,1.48,1,356
192430,TREETOP VIEW BEDROOM - Dwntwn./East 30 day min.,923646,Kate,,South Park Hill,39.741596593397965,-104.93613034734794,Private room,32,30,112,2018-11-01,1.25,1,114
217715,Room w/own Bath near University,1124687,Yvonne And Desmond,,University Park,39.670633584592245,-104.95358558567193,Private room,89,1,14,2018-07-29,0.18,1,365
217996,Highland Snug,10730,William,,Highland,39.7570602871933,-105.01021748193739,Private room,66,30,11,2017-08-06,0.27,1,313
236207,Denver Penthouse GreatViews $9 to DIA+FREEMallRide,1238201,Dave,,Union Station,39.75474852616075,-105.00533440011777,Entire home/apt,235,2,58,2018-09-14,0.74,1,124
242859,Modern Cherry Creek Hot-Spot (Denver),1275154,Brenda,,Cherry Creek,39.715579068675545,-104.94160352739355,Entire home/apt,150,3,84,2018-10-13,0.96,1,264
283162,2000 SF-Lodo Club Style Condo,1475137,Lee,,Union Station,39.75034707021019,-104.99623668734549,Entire home/apt,300,4,1,2018-07-03,0.17,1,303
286732,House on Stout: Prairie,1154806,Ellen,,Five Points,39.752886458426076,-104.98199544750378,Private room,70,2,135,2018-10-24,2.45,3,0
287392,Sloan's Lake Urban Farm and Garden Craftsman Home,1396664,Tara,,West Colfax,39.74285556607671,-105.04918470750118,Entire home/apt,250,3,0,,,1,323
364585,Washington Park Stunning Townhouse,930851,Nicholas,,Washington Park West,39.698589480078496,-104.98130336008728,Entire home/apt,150,20,126,2018-08-27,1.53,1,329
370209,Private room in the nest - w/bathroom,269892,Maura,,Baker,39.718163886854114,-104.99620382670153,Private room,70,1,59,2018-12-02,1.41,2,353
477016,Private room In the heart of Denver,10951,Tricia,,City Park West,39.74129856145918,-104.96934353402783,Private room,55,2,275,2018-12-09,3.49,1,145
478642,Calm Retreat in Artist's Abode,2370964,Andrea,,Clayton,39.76960116168779,-104.9534835748162,Private room,48,2,75,2018-07-10,0.94,2,84
504080,Creative Haven in Artists's Abode,2370964,Andrea,,Clayton,39.765862032909425,-104.95459470690591,Entire home/apt,145,2,45,2018-09-24,0.57,2,347
521072,Downtown and Modern by Hospital.,2563107,Matthew,,City Park West,39.74428076092698,-104.96285022072095,Entire home/apt,55,60,195,2018-11-17,2.49,2,108
548897,"TreeHouse Suite, in Healing Center",1313972,Heather,,City Park,39.74064706158654,-104.95845572084312,Private room,85,30,145,2018-10-02,2.02,3,365
575758,a REAL warehouse LOFT,2832150,Kerry,,Five Points,39.76745503552546,-104.97948175643386,Entire home/apt,200,180,38,2017-01-09,0.67,1,365
582493,Highrise with view of city and mtns,2868799,Charles,,Union Station,39.74844363569665,-105.00090014262449,Entire home/apt,159,1,271,2018-07-27,3.51,1,361
604803,LoHi  Secret garden at the Willow Cottage,666,Jennifer & Giovanni,,Highland,39.76606162915647,-105.00505936134714,Entire home/apt,120,1,158,2018-09-29,2.04,3,203
623616,Denver Skylight Room,1611081,Corrie & Tor,,East Colfax,39.74545905690663,-104.89282123308836,Private room,80,1,72,2018-12-02,0.93,1,56
627673,"LoDo, RiNo, Downtown & Convention Center",3029098,Renee And Linda,,Five Points,39.76068855792753,-104.97421096595143,Entire home/apt,111,1,101,2018-12-18,1.31,1,196
629194,Private Guest House Studio,3125360,Juan,,Berkeley,39.77067632362623,-105.03455540080934,Entire home/apt,85,3,231,2018-12-07,2.99,2,361
632709,1890 townhome in popular LoHi!,2157095,Valerie,,Highland,39.76658830170457,-105.00956625802627,Entire home/apt,129,1,99,2018-12-03,1.49,1,315
662390,Super-Comfortable Private Bedroom,3344763,Steve,,Platt Park,39.68303928224377,-104.98301903663783,Private room,58,3,42,2018-10-21,0.55,3,353
662431,☆Charming Studio☆ Close to Everything/Free Parking,3344656,Tim,,Washington Park,39.70417850069587,-104.96720567239669,Entire home/apt,109,1,177,2018-12-14,6.71,2,326
665622,Walk to Everything Downtown- 2BR,3364096,Becky,,Highland,39.76091052879869,-105.01205436288187,Entire home/apt,120,1,716,2018-12-13,9.31,1,252
676825,Beautiful Home in Charming Location,3440535,Krista,,Stapleton,39.75663132744614,-104.88422854214805,Entire home/apt,199,3,120,2018-12-18,1.58,1,232
678602,Great space and close to downtown!,1577294,Leigh,,Jefferson Park,39.751458793837045,-105.02246187981552,Entire home/apt,112,2,129,2018-12-10,1.72,1,59
732845,Downtown. Walk Everywhere. 3 BR+,3816358,John,,Five Points,39.75915981845197,-104.98067628571675,Entire home/apt,299,2,71,2018-11-26,0.94,1,242
746298,Urban Retreat with Private Bath,3915386,Mary,,Lowry Field,39.723450683059106,-104.89731469225438,Private room,55,2,64,2018-12-20,1.43,2,76
747085,"3 Bed-2 Bath, Chef’s Kitchen, Prvt Hot Tub in LOHI",3920621,Krista,,Highland,39.76820625017609,-105.00076308385385,Entire home/apt,229,3,68,2018-11-02,0.94,1,3
747158,Spruce House: 2br Denver townhouse,3915386,Mary,,Lowry Field,39.725197658327126,-104.89754073126227,Entire home/apt,155,9,21,2017-05-20,0.28,2,71
756594,Private lower level 2 bedroom suite,3638426,Ling & Chris,,South Park Hill,39.74156251155385,-104.91633219003344,Entire home/apt,78,2,213,2018-12-18,2.98,1,325
760023,Lovely home nr dwntn & City Park,3441942,Jill,,City Park West,39.749789667680346,-104.96447007865711,Private room,65,2,186,2018-12-02,2.57,1,338
761858,2 Bedrooms - 2 King Size Beds (Park Hill),489506,Doreen,,South Park Hill,39.75005884375604,-104.93265031472264,Private room,170,1,15,2018-08-15,0.21,2,85
769437,Awesome Room in Baker neigborhood,4017276,Simone,,Baker,39.71660607305292,-104.99617673881377,Private room,75,2,72,2018-12-15,1.03,1,122
774712,"30 Nt. Min. Beautiful, Warm, Cozy Uptown! #2",4087056,Jeanne,,City Park West,39.741284567160385,-104.9676078070743,Entire home/apt,89,16,29,2018-11-21,0.40,5,306
776434,Super-comfortable Modern Home - Platt Park D.U.,3344763,Steve,,Platt Park,39.68388929799609,-104.9807621130917,Entire home/apt,225,3,69,2018-12-14,0.95,3,352
785140,Top floor 2 bdrm entire unit in old Bungalow home,1275081,Shawn,,Sunnyside,39.779885900657206,-105.01580553564779,Entire home/apt,57,3,31,2018-11-29,0.49,1,48
787456,Queen en suite in lovely Victorian,4150751,Pamela,,Congress Park,39.73432841892958,-104.9566628307658,Private room,74,1,297,2018-11-25,4.05,3,348
823343,"Beautiful Wash Park Home, 4 Bedroom",4322821,Kathryn,,Washington Park West,39.701687144521266,-104.98266477992321,Entire home/apt,300,5,5,2018-01-05,0.10,2,8
833937,Sunny Home in Historic Curtis Park,4362827,Eliza Jane,,Five Points,39.75525206771707,-104.9774508312209,Entire home/apt,128,2,377,2018-12-04,5.25,1,180
834896,Dwell Contender!On Park! Walk Score 10+-Dog OK-,4366942,Nan,,City Park West,39.7496516784256,-104.96088032299842,Entire home/apt,74,3,67,2018-11-11,0.97,4,31
852934,Peaceful Artist Oasis 2BR easy access Downtown,4452973,Vivian & Tom,,Goldsmith,39.675475771469465,-104.92997426689581,Entire home/apt,74,1,169,2018-11-19,2.48,1,334
861993,Northwest Denver garden apartment,4517141,John And Shann,,Sloan Lake,39.7494020350268,-105.03548016200347,Entire home/apt,95,1,285,2018-12-17,4.02,1,335
866145,Clean & comfortable in heart of Denver,4550009,Preston,,Baker,39.72514822785795,-104.99727470991958,Private room,65,1,240,2018-11-26,7.50,2,82
