id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
177,Tiny Home in the Heart of the City- ECO FRIENDLY,615,Joe,,Virginia Village,39.69584758375276,-104.92581868505854,Entire home/apt,56,7,38,2017-10-23,1.30,3,313
360,LoHi Secret garden at the Chickadee Cottage,666,Jennifer & Giovanni,,Highland,39.76703329045509,-105.0025640520893,Entire home/apt,140,1,36,2019-01-01,6.35,3,329
590,Comfortable  - and a great value!,933,Jill,,North Park Hill,39.75360861432099,-104.91237270428186,Private room,61,1,556,2018-12-19,4.64,2,197
592,private,933,Jill,,North Park Hill,39.754379776740834,-104.91155676275874,Private room,42,30,145,2018-11-04,1.20,2,168
686,Alexandra's Uptown Queen Bed Room,990,Alexandra,,North Capitol Hill,39.7450296112037,-104.97756400866717,Private room,70,2,234,2018-10-13,1.84,1,310
1940,Baker Studio Close to EVERYTHING,2150,Joanne,,Baker,39.71981035998084,-104.9964870870153,Entire home/apt,95,2,28,2019-01-01,1.14,1,147
2086,Garden Level Condo,2284,Katy,,Hale,39.73996163398822,-104.93172823478774,Entire home/apt,76,180,12,2018-10-21,1.11,1,333
31503,Highland Park Guest House,135298,Rick,,West Highland,39.762159461176836,-105.02865987371432,Entire home/apt,110,3,50,2019-01-14,0.49,1,360
39405,LoHi Secret garden at the Mulberry Cottage,666,Jennifer & Giovanni,,Highland,39.76588303201439,-105.00545175761249,Entire home/apt,111,1,532,2019-01-09,5.15,3,321
56185,charming home for your vacation,266051,Kate,,North Park Hill,39.753215095516104,-104.93334501905635,Entire home/apt,300,3,64,2018-09-02,0.65,1,360
59631,VICTORIAN TOWNHOME DOWNTOWN,1496,Julie,,Five Points,39.74947215259146,-104.97611259083283,Entire home/apt,179,1,139,2018-09-03,1.49,2,353
74125,Spacious Cap Hill Condo (built in 1889) with yards,385864,Joe,,Capitol Hill,39.73275785738501,-104.98035207881279,Entire home/apt,120,3,95,2018-12-31,1.04,1,26
